frame,angle1,angle2
1,3.168631813476395,3.237188742291009
2,3.170579253515839,3.262256949787429
3,3.172765437784359,3.2886431315908493
4,3.1756329287279716,3.317047260945957
5,3.178815042029345,3.345809856396599
6,3.18200264070492,3.3779700309938883
7,3.1851816646596975,3.4095362989494307
8,3.18878088419036,3.4387380963282275
9,3.1923681570839593,3.4715068725601768
10,3.1958904378305837,3.5088288742933615
11,3.199639189073931,3.550656833914924
12,3.20363130994107,3.597484465210079
13,3.2079765466617105,3.651127746161581
14,3.2124101921854398,3.70991258587236
15,3.2171451092896755,3.7751799674251405
16,3.222467202974664,3.847898184829238
17,3.2280599532040135,3.9308854446593227
18,3.23476681648286,4.020718970103317
19,3.2423772904647366,4.1220829422345915
20,3.2506201872259837,4.2334225524206275
21,3.2607211721010034,4.357008064652682
22,3.2736852218461516,4.487408190970544
23,3.2893211545904566,4.635077036477201
24,3.3085839510727255,4.7974319966832555
25,3.3321206126284095,4.974245966716296
26,3.3610952343405573,5.165031188379897
27,3.397005022171011,5.368679509388228
28,3.439198108829309,5.589510193662182
29,3.489906134208753,5.817437263751103
30,3.5485605474850024,6.054447159029472
31,3.6165242152646515,0.01903804200497366
32,3.692568066989896,0.26911581274731733
33,3.776981407556775,0.5231299202870572
34,3.8694220826200043,0.7790922054239439
35,3.968607550719438,1.0322194700382294
36,4.073804770241702,1.2873390930018596
37,4.184310818102871,1.5427980967632067
38,4.303137457853681,1.8014965344018865
39,4.429267898662804,2.0712684624672963
40,4.559247668102693,2.344416431134305
41,4.695923371997397,2.633625467637925
42,4.834628191516972,2.938761071622354
43,4.978712764582097,3.27621613603621
44,5.118405672373116,3.6436080776375017
45,5.253121194931352,4.056510385051693
46,5.380150129482328,4.517083067394924
47,5.497594640104299,5.027187487649145
48,5.609932562012715,5.567425034969347
49,5.723803406557092,6.093356415257067
50,5.852119686000949,0.2973331789460633
51,6.001020960775195,0.7236966620322298
52,6.170631383272062,1.1005469323943995
53,0.06778770835575947,1.4107491754910215
54,0.25821775905899313,1.6661049725693815
55,0.4529574760529324,1.8559105593588157
56,0.6445797889079284,1.9820825496359062
57,0.8318737878984838,2.048065774683774
58,1.0117725377800277,2.063912115554809
59,1.186495739931199,2.0274331367795204
60,1.3558401118983157,1.9510086535263031
61,1.5170579389603034,1.8511019229407397
62,1.670459989619658,1.7363396407549394
63,1.8129676076282017,1.6209483696354239
64,1.946794323637168,1.5075554476378794
65,2.0690473867582027,1.4073748615791848
66,2.1817427722635174,1.314753381403241
67,2.2854062694253985,1.2310696740250604
68,2.3793350912975595,1.1507632799392216
69,2.466595495845527,1.0745041043265362
70,2.5457091898147253,0.9959780865995423
71,2.6198101908181815,0.9134704764937553
72,2.685577868306655,0.8280371040426336
73,2.7462535924406404,0.733356244857984
74,2.800693180616727,0.6329427861589267
75,2.850793819576989,0.5223267303228021
76,2.8955818435826184,0.40141710086584703
77,2.9365182683389266,0.27431369907355196
78,2.9733745210699696,0.1379243312474313
79,3.0079411161591443,6.281319632905455
80,3.0390058836694744,6.1360302300600456
81,3.0701913252321673,5.991648087688756
82,3.101305675637662,5.8547309339214655
83,3.1317425936951255,5.720973660061409
84,3.165235253749465,5.596523690921844
85,3.1992474391974683,5.480616011384015
86,3.2371460832969925,5.376963028662479
87,3.2764582667266278,5.283585393857523
88,3.31929204416892,5.204262349046071
89,3.3649717125416365,5.133270680085804
90,3.412394712847619,5.076919633898585
91,3.463955188765678,5.028653828003881
92,3.5189087223899698,4.990768547523061
93,3.5778556438840488,4.963159404919131
94,3.6414948805546725,4.944190848819073
95,3.710415833284202,4.93337993799434
96,3.784240520269318,4.92517914088183
97,3.865298859261076,4.9216963553276605
98,3.9528863079014998,4.918214981061838
99,4.048671733101471,4.913606307433263
100,4.154060212314869,4.907288919719172
101,4.2686485736816735,4.893724792669316
102,4.39508424926529,4.870257933546812
103,4.532478500715666,4.836081209570263
104,4.682422794500974,4.792786142008753
105,4.845719928821223,4.744200382124038
106,5.017234996489821,4.703133002287279
107,5.199574956175755,4.677515415448955
108,5.388109132416262,4.684390953894847
109,5.580963955145917,4.734540938884477
110,5.774531204638059,4.846853940963004
111,5.9701802692928565,5.002977537443713
112,6.159575235240511,5.23584997187374
113,0.05838867060885579,5.52383508724213
114,0.22777923009942738,5.8562514061287345
115,0.38450911392873965,6.2385174088675095
116,0.5262278354016658,0.3586186609050804
117,0.6575855953149127,0.7709381558367153
118,0.784728188311587,1.1677300476726244
119,0.909226536122919,1.5515010231251012
120,1.0374485032595884,1.9051533608630724
121,1.167957452170272,2.2289758518374603
122,1.2986994605963098,2.5193671463082157
123,1.4271279918368722,2.7854453839369
124,1.5516903716764556,3.0267250775058674
125,1.673354239913498,3.2457774431947315
126,1.789574254852085,3.446826255802094
127,1.8977118393432897,3.6342742182991685
128,1.9998484318673033,3.8119694368073698
129,2.096633742214708,3.987475906217579
130,2.185842470224312,4.155046696236545
131,2.2696640473962217,4.324460914335181
132,2.348340680848618,4.497814955765607
133,2.422196989530077,4.677566767080311
134,2.4923487805342264,4.863843530159637
135,2.557735997475926,5.055872724179565
136,2.6203474129758617,5.253028232857448
137,2.6800034742980228,5.458196862240598
138,2.7370520321171155,5.667066725460402
139,2.7911214494817993,5.878380669607822
140,2.8413358284394414,6.0905437151608695
141,2.887324751112745,0.012818085209834818
142,2.929692820501017,0.21348000224626193
143,2.9673486334795056,0.40324300453084666
144,2.9997841571247106,0.5828494615441772
145,3.0279831017832737,0.7504405764625801
146,3.052123801575858,0.9061779491505715
147,3.0723732297631643,1.0477948998779958
148,3.089548097540702,1.1752330561187678
149,3.103553613341002,1.2894371015520185
150,3.115948712304027,1.3922461890695599
151,3.126925279917517,1.4786299404641117
152,3.136512739004234,1.5525874590510476
153,3.1466140361314543,1.6102203256448122
154,3.1563920491729873,1.6559605361338368
155,3.165723370613244,1.6872640586697663
156,3.1759356607968887,1.7029913748680434
157,3.1867935528007187,1.7020735498477766
158,3.1978513565376985,1.6889098427225397
159,3.2096756350067737,1.6596131554549731
160,3.2227346789348403,1.6166896983312997
161,3.2355711260074815,1.559756222947856
162,3.2493904290755884,1.487183128496801
163,3.2636314284349726,1.3993682545178772
164,3.277711987704252,1.2993608729179693
165,3.2921137475761477,1.1859979511824952
166,3.3055872581134187,1.056250181061245
167,3.319425173000184,0.9166487865066911
168,3.3317138911854394,0.7639774871843144
169,3.3445376046615367,0.6037986473024257
170,3.357398376912419,0.4359560516950836
171,3.370623403788705,0.2627457225036052
172,3.3865058774008094,0.08745009645051195
173,3.4053432480022865,6.1991851490464
174,3.428444046898178,6.031799498434316
175,3.457637118828369,5.87704656783844
176,3.4918256564343007,5.733119472757691
177,3.5324687860472053,5.598551498723285
178,3.5784702072082983,5.475360300616334
179,3.631214272863762,5.361521223940706
180,3.690529023076213,5.2586514126862065
181,3.755343630258031,5.161811901435124
182,3.829635044869265,5.070168674255166
183,3.9103798983989946,4.979678344290015
184,3.9999711639768085,4.887747118043945
185,4.098312727792576,4.794171002303638
186,4.205883574156639,4.695757951918664
187,4.325311220298397,4.588759283297792
188,4.456046934623289,4.47524574990574
189,4.598125911577101,4.360833120868137
190,4.7502778071484615,4.253138988043203
191,4.911710007131048,4.16728085378517
192,5.082824627337821,4.1118216635684215
193,5.262649828662836,4.093853235600135
194,5.445594256419875,4.13378405931361
195,5.635894822930186,4.229532688339558
196,5.830252485223342,4.386653655175541
197,6.020970789985052,4.621117562132297
198,6.2050917249862705,4.921913938991375
199,0.0975294136110851,5.290365433981201
200,0.25409752499464733,5.7115913191829355
